COG	Protein name	Pathway	Letter	Function
COG1341	Polynucleotide 5'-kinase, involved in rRNA processing		J	Translation, Ribosomal Structure and Biogenesis
COG1342	Predicted DNA-binding protein, UPF0251 family		R	General Function Prediction Only
COG1343	CRISPR/Cas system-associated endoribonuclease Cas2	CRISPR-Cas system	V	Defense Mechanisms
COG1344	Flagellin and related hook-associated protein FlgL		N	Cell Motility
COG1345	Flagellar capping protein FliD		N	Cell Motility
COG1346	Putative effector of murein hydrolase		M	Cell Wall/Membrane/Envelope Biogenesis
COG1347	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrD	Na+-translocating NADH dehydrogenase	C	Energy Production and Conversion
COG1348	Nitrogenase ATPase subunit NifH/coenzyme F430 biosynthesis subunit CfbC		H	Coenzyme Transport and Metabolism
COG1348	Nitrogenase ATPase subunit NifH/coenzyme F430 biosynthesis subunit CfbC		P	Inorganic Ion Transport and Metabolism
COG1349	DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family		K	Transcription
COG1349	DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family		G	Carbohydrate Transport and Metabolism
COG1350	Predicted alternative tryptophan synthase beta-subunit (paralog of TrpB)	Aromatic amino acid biosynthesis	E	Amino Acid Transport and Metabolism
COG1351	Thymidylate synthase ThyX, FAD-dependent family	Thymidylate biosynthesis	F	Nucleotide Transport and Metabolism
COG1352	Methylase of chemotaxis methyl-accepting proteins		T	Signal Transduction Mechanisms
COG1353	CRISPR/Cas system-associated protein Cas10, large subunit of type III CRISPR-Cas systems, contains HD superfamily nuclease domain	CRISPR-Cas system	V	Defense Mechanisms
COG1354	Chromatin segregation and condensation protein Rec8/ScpA/Scc1, kleisin family		L	Replication, Recombination and Repair
COG1355	Predicted class III extradiol dioxygenase, MEMO1 family		R	General Function Prediction Only
COG1356	Transcriptional regulator		K	Transcription
COG1357	Uncharacterized conserved protein YjbI, contains pentapeptide repeats		S	Function Unknown
COG1358	Ribosomal protein L7Ae or related RNA K-turn-binding protein	Ribosome 50S subunit	J	Translation, Ribosomal Structure and Biogenesis
COG1359	Quinol monooxygenase YgiN		C	Energy Production and Conversion
COG1360	Flagellar motor protein MotB		N	Cell Motility
COG1361	S-layer protein MJ0795, predicted component of type IV pili-like system		R	General Function Prediction Only
COG1362	Aspartyl aminopeptidase		E	Amino Acid Transport and Metabolism
COG1363	Putative aminopeptidase FrvX		E	Amino Acid Transport and Metabolism
COG1363	Putative aminopeptidase FrvX		G	Carbohydrate Transport and Metabolism
COG1364	Glutamate N-acetyltransferase (ornithine transacetylase)	Arginine biosynthesis	E	Amino Acid Transport and Metabolism
COG1365	Predicted ATPase, PP-loop superfamily		R	General Function Prediction Only
COG1366	Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)		T	Signal Transduction Mechanisms
COG1367	CRISPR-Cas system type III CMR-effector complex subunit Cmr1, RAMP superfamily Cas7 group	CRISPR-Cas system	V	Defense Mechanisms
COG1368	Phosphoglycerol transferase MdoB/OpgB, AlkP superfamily		M	Cell Wall/Membrane/Envelope Biogenesis
COG1369	RNase P/RNase MRP subunit POP5		J	Translation, Ribosomal Structure and Biogenesis
COG1370	tRNA-guanine transglycosylase, archaeosine-15-forming, contains TGT and PUA domains		J	Translation, Ribosomal Structure and Biogenesis
COG1371	Archease, activates RNA ligation by RtcB (tRNA splicing)		J	Translation, Ribosomal Structure and Biogenesis
COG1372	Intein/homing endonuclease		L	Replication, Recombination and Repair
COG1372	Intein/homing endonuclease		X	Mobilome: Prophages, Transposons
COG1373	Predicted ATPase, AAA+ superfamily		R	General Function Prediction Only
COG1374	Rbosome biogenesis protein Nip4, contains PUA domain		J	Translation, Ribosomal Structure and Biogenesis
COG1376	Lipoprotein-anchoring transpeptidase ErfK/SrfK		M	Cell Wall/Membrane/Envelope Biogenesis
COG1377	Flagellar biosynthesis protein FlhB		N	Cell Motility
COG1378	Sugar-specific transcriptional regulator TrmB		K	Transcription
COG1379	PHP family phosphoesterase with a Zn ribbon		R	General Function Prediction Only
COG1380	Putative effector of murein hydrolase LrgA, UPF0299 family		R	General Function Prediction Only
COG1381	Recombinational DNA repair protein RecO (RecF pathway)		L	Replication, Recombination and Repair
COG1382	Prefoldin, chaperonin cofactor		O	Post-translational Modification, Protein Turnover, Chaperones
COG1383	Ribosomal protein S17E	Archaeal ribosomal proteins	J	Translation, Ribosomal Structure and Biogenesis
COG1384	Lysyl-tRNA synthetase, class I	Aminoacyl-tRNA synthetases	J	Translation, Ribosomal Structure and Biogenesis
COG1385	16S rRNA U1498 N3-methylase RsmE	16S rRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG1386	Chromosome segregation and condensation protein ScpB		K	Transcription
COG1387	Histidinol phosphatase or related hydrolase of the PHP family	Histidine biosynthesis	E	Amino Acid Transport and Metabolism
COG1387	Histidinol phosphatase or related hydrolase of the PHP family	Histidine biosynthesis	R	General Function Prediction Only
COG1388	LysM repeat		M	Cell Wall/Membrane/Envelope Biogenesis
COG1389	DNA topoisomerase VI, subunit B		L	Replication, Recombination and Repair
COG1390	Archaeal/vacuolar-type H+-ATPase subunit E/Vma4	A/V-type ATP synthase	C	Energy Production and Conversion
COG1391	Glutamine synthetase adenylyltransferase		O	Post-translational Modification, Protein Turnover, Chaperones
COG1392	Phosphate transport regulator YkaA, distantly related to PhoU, UPF0111/DUF47 family		P	Inorganic Ion Transport and Metabolism
COG1393	Arsenate reductase or related protein, glutaredoxin family		P	Inorganic Ion Transport and Metabolism
COG1394	Archaeal/vacuolar-type H+-ATPase subunit D/Vma8	A/V-type ATP synthase	C	Energy Production and Conversion
COG1395	Predicted transcriptional regulator		K	Transcription
COG1396	Transcriptional regulator, contains XRE-family HTH domain		K	Transcription
COG1397	ADP-ribosylglycohydrolase		O	Post-translational Modification, Protein Turnover, Chaperones
COG1398	Fatty-acid desaturase		I	Lipid Transport and Metabolism
COG1399	23S rRNA accumulation protein YceD (essential in plants, uncharacterized in bacteria)		J	Translation, Ribosomal Structure and Biogenesis
COG1400	Signal recognition particle subunit SEC65		U	Intracellular Trafficking, Secretion, and Vesicular Transport
COG1401	5-methylcytosine-specific restriction endonuclease McrBC, GTP-binding regulatory subunit McrB		V	Defense Mechanisms
COG1402	Creatinine amidohydrolase/Fe(II)-dependent FAPy formamide hydrolase (riboflavin and F420 biosynthesis)	Riboflavin/FAD biosynthesis	H	Coenzyme Transport and Metabolism
COG1403	5-methylcytosine-specific restriction endonuclease McrA		V	Defense Mechanisms
COG1404	Serine protease, subtilisin family		O	Post-translational Modification, Protein Turnover, Chaperones
COG1405	Transcription initiation factor TFIIIB, Brf1 subunit/Transcription initiation factor TFIIB		K	Transcription
COG1406	Chemotaxis protein CheX, a CheY~P-specific phosphatase		N	Cell Motility
COG1407	Metallophosphoesterase superfamily enzyme		R	General Function Prediction Only
COG1408	Predicted phosphohydrolase, MPP superfamily		R	General Function Prediction Only
COG1409	3',5'-cyclic AMP phosphodiesterase CpdA		T	Signal Transduction Mechanisms
COG1410	Methionine synthase I, cobalamin-binding domain	Methionine biosynthesis	E	Amino Acid Transport and Metabolism
COG1411	Uncharacterized conserved protein related to proFAR isomerase (HisA)		R	General Function Prediction Only
COG1412	rRNA-processing protein FCF1		J	Translation, Ribosomal Structure and Biogenesis
COG1413	HEAT repeat		R	General Function Prediction Only
COG1414	DNA-binding transcriptional regulator, IclR family		K	Transcription
COG1415	Uncharacterized conserved protein, DUF763 domain		S	Function Unknown
COG1416	Intracellular sulfur oxidation protein, DsrE/DsrF family		P	Inorganic Ion Transport and Metabolism
COG1417	Uncharacterized conserved protein, DUF22 domain		S	Function Unknown
COG1418	HD superfamily phosphodieaserase, includes HD domain of RNase Y		J	Translation, Ribosomal Structure and Biogenesis
COG1418	HD superfamily phosphodieaserase, includes HD domain of RNase Y		R	General Function Prediction Only
COG1419	Flagellar biosynthesis GTPase FlhF		N	Cell Motility
COG1420	Transcriptional regulator of heat shock response		K	Transcription
COG1421	CRISPR-Cas system type III CSM-effector complex small subunit Csm2	CRISPR-Cas system	V	Defense Mechanisms
COG1422	Archaeal YidC/Oxa1-related membrane protein, DUF106 family		M	Cell Wall/Membrane/Envelope Biogenesis
COG1423	ATP-dependent RNA circularization protein, DNA/RNA ligase (PAB1020)  family		L	Replication, Recombination and Repair
COG1424	Pimeloyl-CoA synthetase	Biotin biosynthesis	H	Coenzyme Transport and Metabolism
COG1426	Cytoskeletal protein RodZ, contains Xre-like HTH and DUF4115 domains		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG1427	Chorismate dehydratase (menaquinone biosynthesis, futalosine pathway)	Menaquinone biosynthesis	H	Coenzyme Transport and Metabolism
COG1428	Deoxyadenosine/deoxycytidine kinase		F	Nucleotide Transport and Metabolism
COG1429	Cobalamin biosynthesis protein CobN, Mg-chelatase	Cobalamine/B12 biosynthesis	H	Coenzyme Transport and Metabolism
COG1430	Uncharacterized conserved membrane protein, UPF0127 family		S	Function Unknown
COG1431	PIWI domain, catalyzes dsRNA-guided hydrolysis of ssRNA, involved in RNA silencing, RNA metabolism and antiviral defense		J	Translation, Ribosomal Structure and Biogenesis
COG1431	PIWI domain, catalyzes dsRNA-guided hydrolysis of ssRNA, involved in RNA silencing, RNA metabolism and antiviral defense		V	Defense Mechanisms
COG1432	NYN domain, predicted PIN-related RNAse, tRNA/rRNA maturation		R	General Function Prediction Only
COG1433	Predicted Fe-Mo cluster-binding protein, NifX family		O	Post-translational Modification, Protein Turnover, Chaperones
COG1434	Lipid carrier protein ElyC involved in cell wall biogenesis, DUF218 family		M	Cell Wall/Membrane/Envelope Biogenesis
COG1435	Thymidine kinase	Pyrimidine salvage	F	Nucleotide Transport and Metabolism
COG1436	Archaeal/vacuolar-type H+-ATPase subunit F/Vma7	A/V-type ATP synthase	C	Energy Production and Conversion
COG1437	Adenylate cyclase class IV, CYTH domain (includes archaeal enzymes of unknown function)		T	Signal Transduction Mechanisms
COG1437	Adenylate cyclase class IV, CYTH domain (includes archaeal enzymes of unknown function)		R	General Function Prediction Only
COG1438	Arginine repressor		K	Transcription
COG1439	rRNA maturation endonuclease Nob1		J	Translation, Ribosomal Structure and Biogenesis
COG1440	Phosphotransferase system cellobiose-specific component IIB		G	Carbohydrate Transport and Metabolism
COG1441	O-succinylbenzoate synthase	Menaquinone biosynthesis	H	Coenzyme Transport and Metabolism
COG1442	Lipopolysaccharide biosynthesis protein, LPS:glycosyltransferase		M	Cell Wall/Membrane/Envelope Biogenesis
COG1443	Isopentenyldiphosphate isomerase	Isoprenoid biosynthesis	I	Lipid Transport and Metabolism
COG1444	tRNA(Met) C34 N-acetyltransferase TmcA	tRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG1445	Phosphotransferase system fructose-specific component IIB		G	Carbohydrate Transport and Metabolism
COG1446	Isoaspartyl peptidase or L-asparaginase, Ntn-hydrolase superfamily		E	Amino Acid Transport and Metabolism
COG1447	Phosphotransferase system cellobiose-specific component IIA		G	Carbohydrate Transport and Metabolism
COG1448	Aspartate/aromatic aminotransferase	Isoleucine, leucine, valine biosynthesis	E	Amino Acid Transport and Metabolism
COG1449	Alpha-amylase/alpha-mannosidase, GH57 family		G	Carbohydrate Transport and Metabolism
COG1450	Type II secretory pathway component GspD/PulD (secretin)		U	Intracellular Trafficking, Secretion, and Vesicular Transport
COG1451	UTP pyrophosphatase, metal-dependent hydrolase family		R	General Function Prediction Only
COG1452	LPS assembly outer membrane protein LptD (organic solvent tolerance protein OstA)		M	Cell Wall/Membrane/Envelope Biogenesis
COG1453	Predicted oxidoreductase of the aldo/keto reductase family		R	General Function Prediction Only
COG1454	Alcohol dehydrogenase, class IV		C	Energy Production and Conversion
COG1455	Phosphotransferase system cellobiose-specific component IIC		G	Carbohydrate Transport and Metabolism
COG1456	CO dehydrogenase/acetyl-CoA synthase gamma subunit (corrinoid Fe-S protein)		C	Energy Production and Conversion
COG1457	Purine-cytosine permease or related protein		F	Nucleotide Transport and Metabolism
COG1458	Predicted RNase MK1237, contains PIN domain, UPF0278 family		R	General Function Prediction Only
COG1459	Type II secretory pathway, component PulF		N	Cell Motility
COG1459	Type II secretory pathway, component PulF		U	Intracellular Trafficking, Secretion, and Vesicular Transport
COG1459	Type II secretory pathway, component PulF		W	Extracellular Structures
COG1460	DNA-directed RNA polymerase, subunit F	RNA polymerase	K	Transcription
COG1461	Predicted kinase related to dihydroxyacetone kinase		R	General Function Prediction Only
COG1462	Curli biogenesis system outer membrane secretion channel CsgG		M	Cell Wall/Membrane/Envelope Biogenesis
COG1463	Periplasmic subunit MlaD of the ABC-type intermembrane phospholipid transporter Mla		M	Cell Wall/Membrane/Envelope Biogenesis
COG1464	ABC-type metal ion transport system, periplasmic component/surface antigen		P	Inorganic Ion Transport and Metabolism
COG1465	3-dehydroquinate synthase, class II		E	Amino Acid Transport and Metabolism
COG1466	DNA polymerase III, delta subunit		L	Replication, Recombination and Repair
COG1467	Eukaryotic-type DNA primase, catalytic (small) subunit		L	Replication, Recombination and Repair
COG1468	CRISPR/Cas system-associated exonuclease Cas4, RecB family	CRISPR-Cas system	V	Defense Mechanisms
COG1469	GTP cyclohydrolase FolE2	Folate biosynthesis	H	Coenzyme Transport and Metabolism
COG1470	Uncharacterized membrane protein		S	Function Unknown
COG1471	Ribosomal protein S4E	Archaeal ribosomal proteins	J	Translation, Ribosomal Structure and Biogenesis
COG1472	Periplasmic beta-glucosidase and related glycosidases		G	Carbohydrate Transport and Metabolism
COG1473	Metal-dependent amidase/aminoacylase/carboxypeptidase	Lysine biosynthesis	R	General Function Prediction Only
COG1474	Cdc6-related protein, AAA superfamily ATPase		L	Replication, Recombination and Repair
COG1475	Chromosome segregation protein Spo0J, contains ParB-like nuclease domain		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
